[rosmaster.main][INFO] 2019-11-02 23:02:25,300: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-02 23:02:25,300: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-02 23:02:25,301: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-02 23:02:25,301: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-02 23:02:25,301: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-02 23:02:25,302: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-02 23:02:25,371: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 23:02:25,374: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38171] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 23:02:25,460: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 23:02:25,460: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 23:02:25,465: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43385/
[rosmaster.master][INFO] 2019-11-02 23:02:25,466: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43385/
[rosmaster.master][INFO] 2019-11-02 23:02:25,467: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43385/
[rosmaster.master][INFO] 2019-11-02 23:02:25,470: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43385/
[rosmaster.master][INFO] 2019-11-02 23:03:19,379: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34717] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 23:03:19,381: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 23:03:19,381: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 23:03:19,381: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 23:03:19,653: +PUB [/rosout] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,654: +SERVICE [/gazebo/get_loggers] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,655: +SERVICE [/gazebo/set_logger_level] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,659: +SUB [/clock] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,684: +PUB [/rosout] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/
[rosmaster.master][INFO] 2019-11-02 23:03:19,685: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/
[rosmaster.master][INFO] 2019-11-02 23:03:19,685: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/
[rosmaster.master][INFO] 2019-11-02 23:03:19,690: +SUB [/clock] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/
[rosmaster.master][INFO] 2019-11-02 23:03:19,695: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43385/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/']
[rosmaster.master][INFO] 2019-11-02 23:03:19,697: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43385/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-02 23:03:19,697: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43385/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/']
[rosmaster.master][INFO] 2019-11-02 23:03:19,697: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43385/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38553/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-02 23:03:19,942: +PUB [/clock] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,943: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,944: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,944: +SERVICE [/gazebo/delete_model] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,945: +SERVICE [/gazebo/delete_light] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,946: +SERVICE [/gazebo/get_model_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,946: +SERVICE [/gazebo/get_model_state] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,947: +SERVICE [/gazebo/get_world_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,947: +SERVICE [/gazebo/get_joint_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,948: +SERVICE [/gazebo/get_link_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,948: +SERVICE [/gazebo/get_link_state] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,949: +SERVICE [/gazebo/get_light_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,949: +SERVICE [/gazebo/set_light_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,950: +SERVICE [/gazebo/get_physics_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,950: +PUB [/gazebo/link_states] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,951: +PUB [/gazebo/model_states] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,951: +SERVICE [/gazebo/set_link_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
[rosmaster.master][INFO] 2019-11-02 23:03:19,952: +SERVICE [/gazebo/set_physics_properties] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:40159/
