[rosmaster.main][INFO] 2020-02-27 07:21:58,546: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 07:21:58,546: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 07:21:58,547: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 07:21:58,547: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 07:21:58,547: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 07:21:58,547: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 07:21:58,595: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,597: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44621] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,691: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,691: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,691: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,691: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,691: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,691: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,691: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,692: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,692: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,692: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,692: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,692: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,692: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,692: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:21:58,694: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39743/
[rosmaster.master][INFO] 2020-02-27 07:21:58,694: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39743/
[rosmaster.master][INFO] 2020-02-27 07:21:58,695: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39743/
[rosmaster.master][INFO] 2020-02-27 07:21:58,698: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39743/
[rosmaster.master][INFO] 2020-02-27 07:21:58,724: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,725: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,726: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,735: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,736: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,736: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,747: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39743/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/']
[rosmaster.master][INFO] 2020-02-27 07:21:58,749: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39743/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 07:21:58,749: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39743/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/']
[rosmaster.master][INFO] 2020-02-27 07:21:58,750: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39743/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 07:21:58,753: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38825/
[rosmaster.master][INFO] 2020-02-27 07:21:58,754: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38825/
[rosmaster.master][INFO] 2020-02-27 07:21:58,755: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38825/
[rosmaster.master][INFO] 2020-02-27 07:21:58,760: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43631/
[rosmaster.master][INFO] 2020-02-27 07:21:58,761: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43631/
[rosmaster.master][INFO] 2020-02-27 07:21:58,762: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43631/
[rosmaster.master][INFO] 2020-02-27 07:21:58,772: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,773: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,774: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,775: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,776: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,777: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,778: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,779: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,779: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,782: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,783: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,784: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,785: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,785: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,786: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,786: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,788: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,789: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,790: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,790: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,791: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,792: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,792: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,793: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,794: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,795: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,796: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,796: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,798: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,800: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,802: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,803: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,804: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,805: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,806: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,807: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,809: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,811: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,812: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,813: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,814: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,815: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,816: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,817: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,818: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,819: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,819: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,820: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38825/
[rosmaster.master][INFO] 2020-02-27 07:21:58,821: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,822: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,823: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,824: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,827: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,828: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,830: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,831: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,832: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/
[rosmaster.master][INFO] 2020-02-27 07:21:58,834: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,834: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38825/
[rosmaster.master][INFO] 2020-02-27 07:21:58,835: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,837: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,839: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,841: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,842: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,843: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,844: +PARAM [/usb_cam/image_mono/theora/target_bitrate] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,845: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 07:21:58,846: +PARAM [/usb_cam/image_mono/theora/quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 07:21:58,847: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38825/
[rosmaster.master][INFO] 2020-02-27 07:21:58,847: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 07:21:58,847: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39743/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40369/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38825/']
