[rosmaster.main][INFO] 2019-12-28 00:06:06,528: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:06:06,528: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:06:06,530: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:06:06,530: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:06:06,530: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:06:06,530: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:06:06,575: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:06,576: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44521] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:06,656: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:06,657: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:06,662: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/
[rosmaster.master][INFO] 2019-12-28 00:06:06,662: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/
[rosmaster.master][INFO] 2019-12-28 00:06:06,663: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/
[rosmaster.master][INFO] 2019-12-28 00:06:06,666: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/
[rosmaster.master][INFO] 2019-12-28 00:06:09,211: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38435] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,214: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,214: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,214: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,214: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,214: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,214: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,214: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,215: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,215: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,215: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,215: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,215: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:06:09,301: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/
[rosmaster.master][INFO] 2019-12-28 00:06:09,302: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/
[rosmaster.master][INFO] 2019-12-28 00:06:09,303: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/
[rosmaster.master][INFO] 2019-12-28 00:06:09,309: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/
[rosmaster.master][INFO] 2019-12-28 00:06:09,309: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/
[rosmaster.master][INFO] 2019-12-28 00:06:09,310: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/
[rosmaster.master][INFO] 2019-12-28 00:06:09,321: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45297/
[rosmaster.master][INFO] 2019-12-28 00:06:09,321: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45297/
[rosmaster.master][INFO] 2019-12-28 00:06:09,322: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45297/
[rosmaster.master][INFO] 2019-12-28 00:06:09,331: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33907/
[rosmaster.master][INFO] 2019-12-28 00:06:09,332: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33907/
[rosmaster.master][INFO] 2019-12-28 00:06:09,333: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33907/
[rosmaster.master][INFO] 2019-12-28 00:06:09,336: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/']
[rosmaster.master][INFO] 2019-12-28 00:06:09,338: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:06:09,338: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/']
[rosmaster.master][INFO] 2019-12-28 00:06:09,339: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:06:09,339: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45297/']
[rosmaster.master][INFO] 2019-12-28 00:06:09,340: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45297/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:06:09,340: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45297/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33907/']
[rosmaster.master][INFO] 2019-12-28 00:06:09,340: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41181/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41841/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45297/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33907/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:06:09,342: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/
[rosmaster.master][INFO] 2019-12-28 00:06:09,342: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/
[rosmaster.master][INFO] 2019-12-28 00:06:09,343: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/
[rosmaster.master][INFO] 2019-12-28 00:06:09,344: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:06:09,345: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:06:09,347: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/
[rosmaster.master][INFO] 2019-12-28 00:06:09,349: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/
[rosmaster.master][INFO] 2019-12-28 00:06:09,350: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35201/
