[rosmaster.main][INFO] 2020-02-28 20:21:05,791: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 20:21:05,791: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 20:21:05,792: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 20:21:05,792: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 20:21:05,792: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 20:21:05,792: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 20:21:05,836: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,838: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42313] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,927: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,928: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,928: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,928: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,928: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,928: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,928: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,928: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,929: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,929: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,929: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,929: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,929: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,929: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:21:05,930: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40727/
[rosmaster.master][INFO] 2020-02-28 20:21:05,931: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40727/
[rosmaster.master][INFO] 2020-02-28 20:21:05,932: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40727/
[rosmaster.master][INFO] 2020-02-28 20:21:05,935: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40727/
[rosmaster.master][INFO] 2020-02-28 20:21:05,969: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42825/
[rosmaster.master][INFO] 2020-02-28 20:21:05,970: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42825/
[rosmaster.master][INFO] 2020-02-28 20:21:05,971: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42825/
[rosmaster.master][INFO] 2020-02-28 20:21:05,978: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32861/
[rosmaster.master][INFO] 2020-02-28 20:21:05,979: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32861/
[rosmaster.master][INFO] 2020-02-28 20:21:05,979: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32861/
[rosmaster.master][INFO] 2020-02-28 20:21:05,992: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40727/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42825/']
