[rosmaster.main][INFO] 2020-01-24 02:18:51,928: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-24 02:18:51,928: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-24 02:18:51,929: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-24 02:18:51,929: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-24 02:18:51,929: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-24 02:18:51,930: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-24 02:18:51,961: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-24 02:18:51,962: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44939] by /roslaunch
[rosmaster.master][INFO] 2020-01-24 02:18:52,114: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-24 02:18:52,114: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-24 02:18:52,395: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37159/
[rosmaster.master][INFO] 2020-01-24 02:18:52,397: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37159/
[rosmaster.master][INFO] 2020-01-24 02:18:52,402: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37159/
[rosmaster.master][INFO] 2020-01-24 02:18:52,413: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37159/
[rosmaster.master][INFO] 2020-01-24 02:19:00,608: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37159/
[rosmaster.master][INFO] 2020-01-24 02:19:00,609: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37159/
[rosmaster.master][INFO] 2020-01-24 02:19:00,609: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:53455
[rosmaster.master][INFO] 2020-01-24 02:19:00,610: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:53455
[rosmaster.main][INFO] 2020-01-24 02:19:00,841: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-01-24 02:19:00,841: stopping master...
[rospy.core][INFO] 2020-01-24 02:19:00,842: signal_shutdown [atexit]
