[rosmaster.main][INFO] 2019-12-27 22:54:36,175: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:54:36,175: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:54:36,176: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:54:36,176: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:54:36,177: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:54:36,177: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:54:36,225: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:36,226: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33555] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:36,309: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:36,309: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:36,316: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42301/
[rosmaster.master][INFO] 2019-12-27 22:54:36,317: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42301/
[rosmaster.master][INFO] 2019-12-27 22:54:36,319: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42301/
[rosmaster.master][INFO] 2019-12-27 22:54:36,323: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42301/
[rosmaster.master][INFO] 2019-12-27 22:54:38,112: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40055] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,114: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,115: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,115: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,115: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,115: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,115: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,115: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,115: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,115: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,116: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,116: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,116: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:54:38,203: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34777/
[rosmaster.master][INFO] 2019-12-27 22:54:38,203: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34777/
[rosmaster.master][INFO] 2019-12-27 22:54:38,204: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34777/
[rosmaster.master][INFO] 2019-12-27 22:54:38,213: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40117/
[rosmaster.master][INFO] 2019-12-27 22:54:38,214: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40117/
[rosmaster.master][INFO] 2019-12-27 22:54:38,214: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40117/
[rosmaster.master][INFO] 2019-12-27 22:54:38,222: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43317/
[rosmaster.master][INFO] 2019-12-27 22:54:38,223: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43317/
[rosmaster.master][INFO] 2019-12-27 22:54:38,224: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43317/
[rosmaster.master][INFO] 2019-12-27 22:54:38,234: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46437/
[rosmaster.master][INFO] 2019-12-27 22:54:38,235: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46437/
[rosmaster.master][INFO] 2019-12-27 22:54:38,235: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:46437/
[rosmaster.master][INFO] 2019-12-27 22:54:38,239: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40117/
[rosmaster.master][INFO] 2019-12-27 22:54:38,240: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40117/
[rosmaster.master][INFO] 2019-12-27 22:54:38,240: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40117/
[rosmaster.master][INFO] 2019-12-27 22:54:38,241: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:54:38,242: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:54:38,243: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40117/
