[rosmaster.main][INFO] 2020-02-27 11:32:40,078: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 11:32:40,078: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 11:32:40,079: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 11:32:40,079: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 11:32:40,079: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 11:32:40,080: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 11:32:40,140: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,144: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39709] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,243: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,243: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,243: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,243: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,243: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,244: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,244: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,244: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,244: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,244: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,244: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,244: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,245: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,245: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 11:32:40,245: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-02-27 11:32:40,246: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-02-27 11:32:40,247: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-02-27 11:32:40,250: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/
[rosmaster.master][INFO] 2020-02-27 11:32:40,276: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/
[rosmaster.master][INFO] 2020-02-27 11:32:40,277: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/
[rosmaster.master][INFO] 2020-02-27 11:32:40,278: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/
[rosmaster.master][INFO] 2020-02-27 11:32:40,279: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/']
[rosmaster.master][INFO] 2020-02-27 11:32:40,282: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37435/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44973/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 11:32:40,285: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38121/
[rosmaster.master][INFO] 2020-02-27 11:32:40,286: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38121/
[rosmaster.master][INFO] 2020-02-27 11:32:40,287: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38121/
[rosmaster.master][INFO] 2020-02-27 11:32:40,305: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43293/
