[rosmaster.main][INFO] 2019-12-18 01:08:13,019: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-18 01:08:13,019: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-18 01:08:13,020: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-18 01:08:13,020: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-18 01:08:13,020: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-18 01:08:13,020: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-18 01:08:13,081: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,084: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33391] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,184: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,184: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,184: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,185: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,185: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,185: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,185: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,185: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:08:13,187: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43341/
[rosmaster.master][INFO] 2019-12-18 01:08:13,187: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43341/
[rosmaster.master][INFO] 2019-12-18 01:08:13,188: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43341/
[rosmaster.master][INFO] 2019-12-18 01:08:13,191: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43341/
[rosmaster.master][INFO] 2019-12-18 01:08:13,206: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42495/
[rosmaster.master][INFO] 2019-12-18 01:08:13,206: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42495/
[rosmaster.master][INFO] 2019-12-18 01:08:13,207: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42495/
[rosmaster.master][INFO] 2019-12-18 01:08:13,216: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40659/
[rosmaster.master][INFO] 2019-12-18 01:08:13,217: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40659/
[rosmaster.master][INFO] 2019-12-18 01:08:13,217: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40659/
[rosmaster.master][INFO] 2019-12-18 01:08:13,220: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43341/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42495/']
[rosmaster.master][INFO] 2019-12-18 01:08:13,221: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43341/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42495/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 01:08:13,221: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43341/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42495/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40659/']
