[rosmaster.main][INFO] 2020-02-27 10:28:17,573: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 10:28:17,573: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 10:28:17,574: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 10:28:17,574: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 10:28:17,574: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 10:28:17,575: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 10:28:17,617: +PUB [/rosout] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,624: +SERVICE [/monitor/get_loggers] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,631: +SERVICE [/monitor/set_logger_level] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,637: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,644: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33357] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,701: +SUB [/whycon/poses] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,703: +SUB [/decision_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,705: +SUB [/detection_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,706: +SUB [/arm_status] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,707: +PUB [/stats_sr] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,708: +PUB [/serviced_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,709: +PUB [/led_control_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,710: +PUB [/base_cell_int_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33301/
[rosmaster.master][INFO] 2020-02-27 10:28:17,745: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,746: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:28:17,749: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37461/
[rosmaster.master][INFO] 2020-02-27 10:28:17,749: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37461/
[rosmaster.master][INFO] 2020-02-27 10:28:17,750: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37461/
[rosmaster.master][INFO] 2020-02-27 10:28:17,754: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37461/
[rosmaster.master][INFO] 2020-02-27 10:28:17,781: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46309/
[rosmaster.master][INFO] 2020-02-27 10:28:17,782: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46309/
[rosmaster.master][INFO] 2020-02-27 10:28:17,783: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46309/
[rosmaster.master][INFO] 2020-02-27 10:28:17,794: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46117/
[rosmaster.master][INFO] 2020-02-27 10:28:17,795: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46117/
[rosmaster.master][INFO] 2020-02-27 10:28:17,795: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46117/
[rosmaster.master][INFO] 2020-02-27 10:28:17,808: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:32789/
[rosmaster.master][INFO] 2020-02-27 10:28:17,809: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:32789/
[rosmaster.master][INFO] 2020-02-27 10:28:17,810: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:32789/
[rosmaster.master][INFO] 2020-02-27 10:28:17,823: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35933/
[rosmaster.master][INFO] 2020-02-27 10:28:17,824: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35933/
[rosmaster.master][INFO] 2020-02-27 10:28:17,824: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35933/
[rosmaster.master][INFO] 2020-02-27 10:28:17,834: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46117/
[rosmaster.master][INFO] 2020-02-27 10:28:17,835: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46117/
[rosmaster.master][INFO] 2020-02-27 10:28:17,836: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46117/
[rosmaster.master][INFO] 2020-02-27 10:28:17,838: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 10:28:17,838: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 10:28:17,840: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46309/
[rosmaster.master][INFO] 2020-02-27 10:28:17,841: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46117/
[rosmaster.master][INFO] 2020-02-27 10:28:17,841: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46309/
[rosmaster.master][INFO] 2020-02-27 10:28:17,842: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46117/
[rosmaster.master][INFO] 2020-02-27 10:28:17,843: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46309/
