[rosmaster.main][INFO] 2020-02-04 23:27:14,518: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-04 23:27:14,518: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-04 23:27:14,519: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-04 23:27:14,519: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-04 23:27:14,519: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-04 23:27:14,519: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-04 23:27:14,576: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,578: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41535] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,674: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,674: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,674: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,674: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,675: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,675: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,675: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,675: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,675: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,675: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,675: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,675: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:27:14,677: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44599/
[rosmaster.master][INFO] 2020-02-04 23:27:14,677: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44599/
[rosmaster.master][INFO] 2020-02-04 23:27:14,678: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44599/
[rosmaster.master][INFO] 2020-02-04 23:27:14,681: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44599/
[rosmaster.master][INFO] 2020-02-04 23:27:14,697: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39321/
[rosmaster.master][INFO] 2020-02-04 23:27:14,698: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39321/
[rosmaster.master][INFO] 2020-02-04 23:27:14,699: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39321/
[rosmaster.master][INFO] 2020-02-04 23:27:14,704: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46595/
[rosmaster.master][INFO] 2020-02-04 23:27:14,705: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46595/
[rosmaster.master][INFO] 2020-02-04 23:27:14,706: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46595/
