[rosmaster.main][INFO] 2020-02-27 16:40:35,108: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 16:40:35,108: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 16:40:35,109: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 16:40:35,109: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 16:40:35,109: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 16:40:35,109: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 16:40:35,151: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,152: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43731] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,223: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,224: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,224: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,224: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,224: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,224: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,224: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,224: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,224: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,224: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,225: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,226: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,226: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/
[rosmaster.master][INFO] 2020-02-27 16:40:35,226: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,227: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:40:35,227: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/
[rosmaster.master][INFO] 2020-02-27 16:40:35,229: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/
[rosmaster.master][INFO] 2020-02-27 16:40:35,232: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/
[rosmaster.master][INFO] 2020-02-27 16:40:35,270: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 16:40:35,271: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 16:40:35,272: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/
[rosmaster.master][INFO] 2020-02-27 16:40:35,274: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
[rosmaster.master][INFO] 2020-02-27 16:40:35,275: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
[rosmaster.master][INFO] 2020-02-27 16:40:35,275: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
[rosmaster.master][INFO] 2020-02-27 16:40:35,287: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36541/
[rosmaster.master][INFO] 2020-02-27 16:40:35,288: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36541/
[rosmaster.master][INFO] 2020-02-27 16:40:35,289: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36541/
[rosmaster.master][INFO] 2020-02-27 16:40:35,300: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40953/
[rosmaster.master][INFO] 2020-02-27 16:40:35,302: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40953/
[rosmaster.master][INFO] 2020-02-27 16:40:35,304: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40953/
[rosmaster.master][INFO] 2020-02-27 16:40:35,308: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/']
[rosmaster.master][INFO] 2020-02-27 16:40:35,310: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 16:40:35,311: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/']
[rosmaster.master][INFO] 2020-02-27 16:40:35,311: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 16:40:35,311: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36541/']
[rosmaster.master][INFO] 2020-02-27 16:40:35,312: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36541/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 16:40:35,313: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36541/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40953/']
[rosmaster.master][INFO] 2020-02-27 16:40:35,313: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38969/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:44653/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36541/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40953/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 16:40:35,322: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
[rosmaster.master][INFO] 2020-02-27 16:40:35,323: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
[rosmaster.master][INFO] 2020-02-27 16:40:35,324: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
[rosmaster.master][INFO] 2020-02-27 16:40:35,326: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 16:40:35,326: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 16:40:35,329: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
[rosmaster.master][INFO] 2020-02-27 16:40:35,330: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
[rosmaster.master][INFO] 2020-02-27 16:40:35,332: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
[rosmaster.master][INFO] 2020-02-27 16:40:35,333: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35043/
