[rosmaster.main][INFO] 2019-12-23 02:49:45,864: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 02:49:45,864: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 02:49:45,865: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 02:49:45,865: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 02:49:45,866: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 02:49:45,866: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 02:49:45,928: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:45,931: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39657] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,031: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,031: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,032: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 02:49:46,034: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44747/
[rosmaster.master][INFO] 2019-12-23 02:49:46,034: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44747/
[rosmaster.master][INFO] 2019-12-23 02:49:46,036: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44747/
[rosmaster.master][INFO] 2019-12-23 02:49:46,038: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44747/
[rosmaster.master][INFO] 2019-12-23 02:49:46,054: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42891/
[rosmaster.master][INFO] 2019-12-23 02:49:46,055: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42891/
[rosmaster.master][INFO] 2019-12-23 02:49:46,056: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42891/
[rosmaster.master][INFO] 2019-12-23 02:49:46,065: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42891/']
[rosmaster.master][INFO] 2019-12-23 02:49:46,066: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35527/
[rosmaster.master][INFO] 2019-12-23 02:49:46,067: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42891/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 02:49:46,067: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44747/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42891/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35527/']
