[rosmaster.main][INFO] 2019-12-31 08:52:31,718: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 08:52:31,718: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 08:52:31,719: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 08:52:31,719: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 08:52:31,719: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 08:52:31,719: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 08:52:31,793: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:52:31,794: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36983] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:52:31,864: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:52:31,864: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:52:31,933: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38207/
[rosmaster.master][INFO] 2019-12-31 08:52:31,933: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38207/
[rosmaster.master][INFO] 2019-12-31 08:52:31,935: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38207/
[rosmaster.master][INFO] 2019-12-31 08:52:31,937: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38207/
[rosmaster.master][INFO] 2019-12-31 08:52:38,461: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37713] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:52:38,463: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:52:38,463: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:52:38,463: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:52:38,463: +PARAM [/whycon/targets] by /roslaunch
