[rosmaster.main][INFO] 2019-12-15 00:36:05,699: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-15 00:36:05,700: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-15 00:36:05,700: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-15 00:36:05,701: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-15 00:36:05,701: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-15 00:36:05,701: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-15 00:36:05,770: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:36:05,774: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42603] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:36:05,860: +PUB [/rosout] /cameracalibrator http://itachi-HP-Pavilion-Laptop-15-cc1xx:40555/
[rosmaster.master][INFO] 2019-12-15 00:36:05,862: +SERVICE [/cameracalibrator/get_loggers] /cameracalibrator http://itachi-HP-Pavilion-Laptop-15-cc1xx:40555/
[rosmaster.master][INFO] 2019-12-15 00:36:05,863: +SERVICE [/cameracalibrator/set_logger_level] /cameracalibrator http://itachi-HP-Pavilion-Laptop-15-cc1xx:40555/
[rosmaster.master][INFO] 2019-12-15 00:36:05,867: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:36:05,868: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:36:05,871: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40839/
[rosmaster.master][INFO] 2019-12-15 00:36:05,872: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40839/
[rosmaster.master][INFO] 2019-12-15 00:36:05,873: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40839/
[rosmaster.master][INFO] 2019-12-15 00:36:05,876: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40839/
[rosmaster.master][INFO] 2019-12-15 00:36:11,041: -PUB [/rosout] /cameracalibrator http://itachi-HP-Pavilion-Laptop-15-cc1xx:40555/
[rosmaster.master][INFO] 2019-12-15 00:36:11,042: -SERVICE [/cameracalibrator/set_logger_level] /cameracalibrator rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:42097
[rosmaster.master][INFO] 2019-12-15 00:36:11,043: -SERVICE [/cameracalibrator/get_loggers] /cameracalibrator rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:42097
[rosmaster.master][INFO] 2019-12-15 00:36:11,118: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40839/ []
