[rosmaster.main][INFO] 2020-02-27 07:22:18,925: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 07:22:18,925: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 07:22:18,926: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 07:22:18,926: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 07:22:18,926: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 07:22:18,926: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 07:22:18,981: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:18,985: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42397] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,068: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,068: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,068: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,068: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,069: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,069: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,069: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,069: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,069: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,069: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,069: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,069: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,069: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,070: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 07:22:19,071: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44023/
[rosmaster.master][INFO] 2020-02-27 07:22:19,071: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44023/
[rosmaster.master][INFO] 2020-02-27 07:22:19,072: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44023/
[rosmaster.master][INFO] 2020-02-27 07:22:19,075: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44023/
[rosmaster.master][INFO] 2020-02-27 07:22:19,101: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36483/
[rosmaster.master][INFO] 2020-02-27 07:22:19,102: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36483/
[rosmaster.master][INFO] 2020-02-27 07:22:19,103: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36483/
[rosmaster.master][INFO] 2020-02-27 07:22:19,116: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33833/
[rosmaster.master][INFO] 2020-02-27 07:22:19,117: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33833/
[rosmaster.master][INFO] 2020-02-27 07:22:19,118: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33833/
[rosmaster.master][INFO] 2020-02-27 07:22:19,124: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36177/
