[rosmaster.main][INFO] 2019-12-31 09:35:32,774: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:35:32,775: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:35:32,775: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:35:32,775: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:35:32,776: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:35:32,776: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:35:32,842: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,843: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33135] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,929: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:35:32,961: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41443/
[rosmaster.master][INFO] 2019-12-31 09:35:32,962: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41443/
[rosmaster.master][INFO] 2019-12-31 09:35:32,963: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41443/
[rosmaster.master][INFO] 2019-12-31 09:35:32,965: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41443/
[rosmaster.master][INFO] 2019-12-31 09:35:33,037: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
[rosmaster.master][INFO] 2019-12-31 09:35:33,037: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
[rosmaster.master][INFO] 2019-12-31 09:35:33,038: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
[rosmaster.master][INFO] 2019-12-31 09:35:33,075: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41443/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/']
[rosmaster.master][INFO] 2019-12-31 09:35:33,077: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41443/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:35:33,098: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33709/
[rosmaster.master][INFO] 2019-12-31 09:35:33,099: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33709/
[rosmaster.master][INFO] 2019-12-31 09:35:33,099: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33709/
[rosmaster.master][INFO] 2019-12-31 09:35:33,119: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
[rosmaster.master][INFO] 2019-12-31 09:35:33,120: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
[rosmaster.master][INFO] 2019-12-31 09:35:33,120: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
