[rosmaster.main][INFO] 2020-02-27 17:02:11,162: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 17:02:11,162: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 17:02:11,163: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 17:02:11,163: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 17:02:11,163: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 17:02:11,164: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 17:02:11,216: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,220: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38605] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,321: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,321: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,321: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,321: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,321: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,322: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,322: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,322: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,322: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,322: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,323: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,323: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,323: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,323: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:02:11,323: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-27 17:02:11,324: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
[rosmaster.master][INFO] 2020-02-27 17:02:11,325: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45579/
