[rosmaster.main][INFO] 2019-12-21 11:49:10,663: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-21 11:49:10,663: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-21 11:49:10,664: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-21 11:49:10,664: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-21 11:49:10,664: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-21 11:49:10,664: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-21 11:49:10,719: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,719: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39689] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,793: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,794: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,794: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,794: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,794: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,794: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,794: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,795: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,795: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,795: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,795: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,795: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:10,796: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38973/
[rosmaster.master][INFO] 2019-12-21 11:49:10,796: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38973/
[rosmaster.master][INFO] 2019-12-21 11:49:10,797: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38973/
[rosmaster.master][INFO] 2019-12-21 11:49:10,800: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38973/
[rosmaster.master][INFO] 2019-12-21 11:49:10,818: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46661/
[rosmaster.master][INFO] 2019-12-21 11:49:10,818: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46661/
[rosmaster.master][INFO] 2019-12-21 11:49:10,819: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46661/
[rosmaster.master][INFO] 2019-12-21 11:49:10,833: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33559/
[rosmaster.master][INFO] 2019-12-21 11:49:10,834: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33559/
[rosmaster.master][INFO] 2019-12-21 11:49:10,835: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33559/
[rosmaster.master][INFO] 2019-12-21 11:49:10,840: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37671/
[rosmaster.master][INFO] 2019-12-21 11:49:10,841: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37671/
[rosmaster.master][INFO] 2019-12-21 11:49:10,842: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37671/
[rosmaster.master][INFO] 2019-12-21 11:49:10,847: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40907/
[rosmaster.master][INFO] 2019-12-21 11:49:10,847: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40907/
[rosmaster.master][INFO] 2019-12-21 11:49:10,848: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40907/
[rosmaster.master][INFO] 2019-12-21 11:49:10,864: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38973/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46661/']
[rosmaster.master][INFO] 2019-12-21 11:49:10,866: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38973/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46661/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-21 11:49:10,866: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38973/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46661/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33559/']
[rosmaster.master][INFO] 2019-12-21 11:49:10,866: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38973/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46661/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33559/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-21 11:49:10,867: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38973/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46661/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33559/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37671/']
