[rosmaster.main][INFO] 2019-12-27 20:24:38,686: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 20:24:38,686: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 20:24:38,687: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 20:24:38,687: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 20:24:38,687: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 20:24:38,687: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 20:24:38,748: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:38,752: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42529] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:38,841: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:38,841: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:38,846: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2019-12-27 20:24:38,846: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2019-12-27 20:24:38,848: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2019-12-27 20:24:38,850: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/
[rosmaster.master][INFO] 2019-12-27 20:24:41,074: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36511] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,077: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,078: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 20:24:41,165: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/
[rosmaster.master][INFO] 2019-12-27 20:24:41,166: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/
[rosmaster.master][INFO] 2019-12-27 20:24:41,167: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/
[rosmaster.master][INFO] 2019-12-27 20:24:41,173: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-27 20:24:41,174: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-27 20:24:41,175: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-27 20:24:41,179: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46383/
[rosmaster.master][INFO] 2019-12-27 20:24:41,180: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46383/
[rosmaster.master][INFO] 2019-12-27 20:24:41,181: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46383/
[rosmaster.master][INFO] 2019-12-27 20:24:41,192: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/']
[rosmaster.master][INFO] 2019-12-27 20:24:41,195: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 20:24:41,195: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/']
[rosmaster.master][INFO] 2019-12-27 20:24:41,197: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 20:24:41,198: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46383/']
[rosmaster.master][INFO] 2019-12-27 20:24:41,199: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34461/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46383/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 20:24:41,199: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34525/
[rosmaster.master][INFO] 2019-12-27 20:24:41,200: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34525/
[rosmaster.master][INFO] 2019-12-27 20:24:41,201: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34525/
[rosmaster.master][INFO] 2019-12-27 20:24:41,209: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-27 20:24:41,210: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/
[rosmaster.master][INFO] 2019-12-27 20:24:41,211: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-27 20:24:41,213: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/
[rosmaster.master][INFO] 2019-12-27 20:24:41,213: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-27 20:24:41,215: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/
[rosmaster.master][INFO] 2019-12-27 20:24:41,217: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43927/
[rosmaster.master][INFO] 2019-12-27 20:24:41,217: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 20:24:41,219: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
