[rosmaster.main][INFO] 2020-01-31 16:44:12,678: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-31 16:44:12,678: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-31 16:44:12,679: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-31 16:44:12,679: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-31 16:44:12,680: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-31 16:44:12,680: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-31 16:44:12,745: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,746: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40519] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,816: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,817: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,817: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-31 16:44:12,865: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34651/
