[rosmaster.main][INFO] 2020-01-30 18:18:26,457: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 18:18:26,457: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 18:18:26,458: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 18:18:26,458: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 18:18:26,458: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 18:18:26,458: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 18:18:26,511: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,512: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43873] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,602: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,602: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,603: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 18:18:26,605: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/
[rosmaster.master][INFO] 2020-01-30 18:18:26,605: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/
[rosmaster.master][INFO] 2020-01-30 18:18:26,606: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/
[rosmaster.master][INFO] 2020-01-30 18:18:26,610: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/
[rosmaster.master][INFO] 2020-01-30 18:18:26,631: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,632: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,632: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,639: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,640: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,640: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,643: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/
[rosmaster.master][INFO] 2020-01-30 18:18:26,644: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/
[rosmaster.master][INFO] 2020-01-30 18:18:26,644: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/
[rosmaster.master][INFO] 2020-01-30 18:18:26,652: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40805/
[rosmaster.master][INFO] 2020-01-30 18:18:26,653: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40805/
[rosmaster.master][INFO] 2020-01-30 18:18:26,653: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40805/
[rosmaster.master][INFO] 2020-01-30 18:18:26,658: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/']
[rosmaster.master][INFO] 2020-01-30 18:18:26,659: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 18:18:26,659: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/']
[rosmaster.master][INFO] 2020-01-30 18:18:26,660: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 18:18:26,661: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/']
[rosmaster.master][INFO] 2020-01-30 18:18:26,661: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 18:18:26,661: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40805/']
[rosmaster.master][INFO] 2020-01-30 18:18:26,662: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37379/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40805/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 18:18:26,685: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,687: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,688: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,689: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,690: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,691: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/
[rosmaster.master][INFO] 2020-01-30 18:18:26,691: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,692: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 18:18:26,693: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,694: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 18:18:26,698: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,698: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 18:18:26,699: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,700: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 18:18:26,701: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,702: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 18:18:26,703: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33715/
[rosmaster.master][INFO] 2020-01-30 18:18:26,704: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 18:18:26,704: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/
[rosmaster.master][INFO] 2020-01-30 18:18:26,705: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 18:18:26,707: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 18:18:26,709: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 18:18:26,709: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,711: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 18:18:26,711: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,712: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 18:18:26,713: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,713: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/
[rosmaster.master][INFO] 2020-01-30 18:18:26,714: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 18:18:26,715: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34789/
[rosmaster.master][INFO] 2020-01-30 18:18:26,715: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/
[rosmaster.master][INFO] 2020-01-30 18:18:26,716: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 18:18:26,717: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35759/
[rosmaster.master][INFO] 2020-01-30 18:18:26,718: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
