[rosmaster.main][INFO] 2019-11-01 21:16:50,780: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-01 21:16:50,780: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-01 21:16:50,781: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-01 21:16:50,781: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-01 21:16:50,781: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-01 21:16:50,782: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-01 21:16:50,846: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 21:16:50,850: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36513] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 21:16:50,933: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 21:16:50,933: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 21:16:50,933: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 21:16:50,938: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35429/
[rosmaster.master][INFO] 2019-11-01 21:16:50,939: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35429/
[rosmaster.master][INFO] 2019-11-01 21:16:50,943: +SUB [/clock] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35429/
[rosmaster.master][INFO] 2019-11-01 21:16:50,944: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35429/
[rosmaster.master][INFO] 2019-11-01 21:16:50,948: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35429/
[rosmaster.master][INFO] 2019-11-01 21:16:51,169: +PUB [/rosout] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:37617/
[rosmaster.master][INFO] 2019-11-01 21:16:51,170: +SERVICE [/gazebo/get_loggers] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:37617/
[rosmaster.master][INFO] 2019-11-01 21:16:51,171: +SERVICE [/gazebo/set_logger_level] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:37617/
[rosmaster.master][INFO] 2019-11-01 21:16:51,175: +SUB [/clock] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:37617/
