[rosmaster.main][INFO] 2019-12-31 19:15:35,652: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 19:15:35,652: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 19:15:35,653: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 19:15:35,653: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 19:15:35,653: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 19:15:35,654: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 19:15:35,690: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:35,691: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33667] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:35,767: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:35,767: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:35,771: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33429/
[rosmaster.master][INFO] 2019-12-31 19:15:35,772: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33429/
[rosmaster.master][INFO] 2019-12-31 19:15:35,773: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33429/
[rosmaster.master][INFO] 2019-12-31 19:15:35,776: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33429/
[rosmaster.master][INFO] 2019-12-31 19:15:38,147: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37691] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,150: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,151: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,151: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:15:38,236: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-31 19:15:38,236: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-31 19:15:38,237: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/
[rosmaster.master][INFO] 2019-12-31 19:15:38,245: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45159/
[rosmaster.master][INFO] 2019-12-31 19:15:38,246: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45159/
[rosmaster.master][INFO] 2019-12-31 19:15:38,246: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45159/
[rosmaster.master][INFO] 2019-12-31 19:15:38,250: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46659/
[rosmaster.master][INFO] 2019-12-31 19:15:38,251: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46659/
[rosmaster.master][INFO] 2019-12-31 19:15:38,251: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46659/
[rosmaster.master][INFO] 2019-12-31 19:15:38,258: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33429/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/']
[rosmaster.master][INFO] 2019-12-31 19:15:38,260: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33429/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43073/']: sec=0.00, result=[1, '', 0]
