[rosmaster.main][INFO] 2020-02-28 19:38:41,949: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:38:41,949: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:38:41,950: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:38:41,950: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:38:41,950: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:38:41,951: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:38:42,006: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,008: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39029] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,099: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,100: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:38:42,101: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35523/
[rosmaster.master][INFO] 2020-02-28 19:38:42,101: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35523/
[rosmaster.master][INFO] 2020-02-28 19:38:42,102: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35523/
[rosmaster.master][INFO] 2020-02-28 19:38:42,105: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35523/
[rosmaster.master][INFO] 2020-02-28 19:38:42,131: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37115/
[rosmaster.master][INFO] 2020-02-28 19:38:42,132: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37115/
[rosmaster.master][INFO] 2020-02-28 19:38:42,133: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37115/
[rosmaster.master][INFO] 2020-02-28 19:38:42,143: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36585/
[rosmaster.master][INFO] 2020-02-28 19:38:42,144: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36585/
[rosmaster.master][INFO] 2020-02-28 19:38:42,145: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36585/
[rosmaster.master][INFO] 2020-02-28 19:38:42,150: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35523/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37115/']
[rosmaster.master][INFO] 2020-02-28 19:38:42,152: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35523/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37115/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:38:42,152: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35523/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36585/']
[rosmaster.master][INFO] 2020-02-28 19:38:42,153: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35523/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37115/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36585/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:38:42,155: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44607/
[rosmaster.master][INFO] 2020-02-28 19:38:42,157: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44607/
[rosmaster.master][INFO] 2020-02-28 19:38:42,158: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44607/
[rosmaster.master][INFO] 2020-02-28 19:38:42,171: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37521/
[rosmaster.master][INFO] 2020-02-28 19:38:42,172: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37521/
[rosmaster.master][INFO] 2020-02-28 19:38:42,173: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37521/
[rosmaster.master][INFO] 2020-02-28 19:38:42,186: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36585/
