[rosmaster.main][INFO] 2019-12-23 03:40:13,480: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 03:40:13,480: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 03:40:13,480: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 03:40:13,481: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 03:40:13,481: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 03:40:13,481: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 03:40:13,533: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,536: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39257] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,634: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,635: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,635: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:40:13,636: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33391/
[rosmaster.master][INFO] 2019-12-23 03:40:13,637: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33391/
[rosmaster.master][INFO] 2019-12-23 03:40:13,638: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33391/
[rosmaster.master][INFO] 2019-12-23 03:40:13,641: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33391/
[rosmaster.master][INFO] 2019-12-23 03:40:13,658: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/
[rosmaster.master][INFO] 2019-12-23 03:40:13,659: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/
[rosmaster.master][INFO] 2019-12-23 03:40:13,659: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/
[rosmaster.master][INFO] 2019-12-23 03:40:13,669: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,670: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,671: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,680: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33391/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/']
[rosmaster.master][INFO] 2019-12-23 03:40:13,683: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33391/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:40:13,683: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33391/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/']
[rosmaster.master][INFO] 2019-12-23 03:40:13,683: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33391/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-23 03:40:13,684: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41683/
[rosmaster.master][INFO] 2019-12-23 03:40:13,685: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41683/
[rosmaster.master][INFO] 2019-12-23 03:40:13,686: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:41683/
[rosmaster.master][INFO] 2019-12-23 03:40:13,687: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38279/
[rosmaster.master][INFO] 2019-12-23 03:40:13,688: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38279/
[rosmaster.master][INFO] 2019-12-23 03:40:13,689: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38279/
[rosmaster.master][INFO] 2019-12-23 03:40:13,704: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,705: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,705: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,706: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:40:13,707: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:40:13,708: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,709: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,709: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,710: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,712: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:40:13,712: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:40:13,713: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:40:13,713: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:40:13,714: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/
[rosmaster.master][INFO] 2019-12-23 03:40:13,715: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:40:13,715: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/
[rosmaster.master][INFO] 2019-12-23 03:40:13,716: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-23 03:40:13,716: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/
[rosmaster.master][INFO] 2019-12-23 03:40:13,717: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,717: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36319/
[rosmaster.master][INFO] 2019-12-23 03:40:13,718: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,719: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
[rosmaster.master][INFO] 2019-12-23 03:40:13,720: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41047/
