[rosmaster.main][INFO] 2020-02-27 01:39:00,151: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 01:39:00,151: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 01:39:00,152: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 01:39:00,152: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 01:39:00,152: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 01:39:00,152: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 01:39:00,197: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,199: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39157] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,277: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,277: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,277: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,277: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,277: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,277: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,277: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,278: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,278: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,278: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,278: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,278: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,278: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,279: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 01:39:00,279: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36135/
[rosmaster.master][INFO] 2020-02-27 01:39:00,280: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36135/
[rosmaster.master][INFO] 2020-02-27 01:39:00,281: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36135/
[rosmaster.master][INFO] 2020-02-27 01:39:00,284: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36135/
[rosmaster.master][INFO] 2020-02-27 01:39:00,311: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43665/
[rosmaster.master][INFO] 2020-02-27 01:39:00,312: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43665/
[rosmaster.master][INFO] 2020-02-27 01:39:00,313: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43665/
[rosmaster.master][INFO] 2020-02-27 01:39:00,319: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36893/
[rosmaster.master][INFO] 2020-02-27 01:39:00,320: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36893/
[rosmaster.master][INFO] 2020-02-27 01:39:00,320: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36893/
[rosmaster.master][INFO] 2020-02-27 01:39:00,337: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37111/
