[rosmaster.main][INFO] 2019-12-27 01:41:00,807: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 01:41:00,807: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 01:41:00,808: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 01:41:00,809: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 01:41:00,809: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 01:41:00,809: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 01:41:00,870: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,872: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41001] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,952: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,952: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,952: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,953: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,953: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,953: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,953: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,953: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,953: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,953: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,954: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,954: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 01:41:00,954: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33431/
[rosmaster.master][INFO] 2019-12-27 01:41:00,955: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33431/
[rosmaster.master][INFO] 2019-12-27 01:41:00,956: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33431/
[rosmaster.master][INFO] 2019-12-27 01:41:00,959: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33431/
[rosmaster.master][INFO] 2019-12-27 01:41:00,976: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36235/
[rosmaster.master][INFO] 2019-12-27 01:41:00,977: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36235/
[rosmaster.master][INFO] 2019-12-27 01:41:00,980: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36235/
[rosmaster.master][INFO] 2019-12-27 01:41:00,987: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/
[rosmaster.master][INFO] 2019-12-27 01:41:00,988: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/
[rosmaster.master][INFO] 2019-12-27 01:41:00,988: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36399/
[rosmaster.master][INFO] 2019-12-27 01:41:00,996: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38437/
