[rosmaster.main][INFO] 2019-12-28 02:51:25,497: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 02:51:25,497: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 02:51:25,498: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 02:51:25,498: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 02:51:25,498: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 02:51:25,498: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 02:51:25,534: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,535: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38443] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,601: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,601: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,601: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,601: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,601: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,601: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,601: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,602: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,602: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,602: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,602: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,602: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 02:51:25,603: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38371/
[rosmaster.master][INFO] 2019-12-28 02:51:25,604: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38371/
[rosmaster.master][INFO] 2019-12-28 02:51:25,605: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38371/
[rosmaster.master][INFO] 2019-12-28 02:51:25,607: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38371/
[rosmaster.master][INFO] 2019-12-28 02:51:25,631: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35997/
[rosmaster.master][INFO] 2019-12-28 02:51:25,631: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35997/
[rosmaster.master][INFO] 2019-12-28 02:51:25,632: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35997/
[rosmaster.master][INFO] 2019-12-28 02:51:25,634: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42177/
[rosmaster.master][INFO] 2019-12-28 02:51:25,634: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42177/
[rosmaster.master][INFO] 2019-12-28 02:51:25,635: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42177/
[rosmaster.master][INFO] 2019-12-28 02:51:25,641: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44537/
[rosmaster.master][INFO] 2019-12-28 02:51:25,642: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44537/
[rosmaster.master][INFO] 2019-12-28 02:51:25,642: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44537/
