[rosmaster.main][INFO] 2019-12-21 11:49:30,100: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-21 11:49:30,100: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-21 11:49:30,101: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-21 11:49:30,101: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-21 11:49:30,101: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-21 11:49:30,101: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-21 11:49:30,114: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,115: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44793] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,204: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,204: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,204: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,205: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,205: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,205: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,205: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,205: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,205: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,205: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,205: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,205: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-21 11:49:30,207: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44575/
[rosmaster.master][INFO] 2019-12-21 11:49:30,208: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44575/
[rosmaster.master][INFO] 2019-12-21 11:49:30,209: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44575/
[rosmaster.master][INFO] 2019-12-21 11:49:30,213: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44575/
[rosmaster.master][INFO] 2019-12-21 11:49:30,237: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39591/
