[rosmaster.main][INFO] 2020-02-27 16:41:05,371: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 16:41:05,371: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 16:41:05,372: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 16:41:05,372: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 16:41:05,373: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 16:41:05,373: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 16:41:05,418: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,419: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42899] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,499: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,500: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,500: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:05,502: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43095/
[rosmaster.master][INFO] 2020-02-27 16:41:05,502: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43095/
[rosmaster.master][INFO] 2020-02-27 16:41:05,503: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43095/
[rosmaster.master][INFO] 2020-02-27 16:41:05,507: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43095/
[rosmaster.master][INFO] 2020-02-27 16:41:05,536: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36869/
[rosmaster.master][INFO] 2020-02-27 16:41:05,537: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36869/
[rosmaster.master][INFO] 2020-02-27 16:41:05,538: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36869/
[rosmaster.master][INFO] 2020-02-27 16:41:05,551: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41959/
[rosmaster.master][INFO] 2020-02-27 16:41:05,552: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41959/
[rosmaster.master][INFO] 2020-02-27 16:41:05,553: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41959/
[rosmaster.master][INFO] 2020-02-27 16:41:05,561: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34229/
[rosmaster.master][INFO] 2020-02-27 16:41:05,562: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34229/
[rosmaster.master][INFO] 2020-02-27 16:41:05,563: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34229/
[rosmaster.master][INFO] 2020-02-27 16:41:05,572: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43095/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36869/']
[rosmaster.master][INFO] 2020-02-27 16:41:05,574: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43095/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36869/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 16:41:05,575: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43095/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36869/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41959/']
