[rosmaster.main][INFO] 2020-02-27 15:58:18,724: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 15:58:18,724: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 15:58:18,725: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 15:58:18,725: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 15:58:18,725: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 15:58:18,725: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 15:58:18,776: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,779: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44045] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,873: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,874: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,875: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,875: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,875: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:18,876: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33073/
[rosmaster.master][INFO] 2020-02-27 15:58:18,877: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33073/
[rosmaster.master][INFO] 2020-02-27 15:58:18,878: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33073/
[rosmaster.master][INFO] 2020-02-27 15:58:18,881: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33073/
[rosmaster.master][INFO] 2020-02-27 15:58:18,909: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/
[rosmaster.master][INFO] 2020-02-27 15:58:18,910: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/
[rosmaster.master][INFO] 2020-02-27 15:58:18,911: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/
[rosmaster.master][INFO] 2020-02-27 15:58:18,917: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,918: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,919: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,924: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33073/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/']
[rosmaster.master][INFO] 2020-02-27 15:58:18,927: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33073/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 15:58:18,927: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33073/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/']
[rosmaster.master][INFO] 2020-02-27 15:58:18,928: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33073/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 15:58:18,939: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34487/
[rosmaster.master][INFO] 2020-02-27 15:58:18,940: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34487/
[rosmaster.master][INFO] 2020-02-27 15:58:18,941: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34487/
[rosmaster.master][INFO] 2020-02-27 15:58:18,953: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41913/
[rosmaster.master][INFO] 2020-02-27 15:58:18,954: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41913/
[rosmaster.master][INFO] 2020-02-27 15:58:18,955: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,956: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41913/
[rosmaster.master][INFO] 2020-02-27 15:58:18,957: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,958: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,961: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 15:58:18,962: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 15:58:18,965: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,966: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,967: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/
[rosmaster.master][INFO] 2020-02-27 15:58:18,967: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,968: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/
[rosmaster.master][INFO] 2020-02-27 15:58:18,969: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35477/
[rosmaster.master][INFO] 2020-02-27 15:58:18,970: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/
[rosmaster.master][INFO] 2020-02-27 15:58:18,972: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39777/
[rosmaster.master][INFO] 2020-02-27 15:58:18,974: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 15:58:18,976: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 15:58:18,978: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 15:58:18,983: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 15:58:18,983: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 15:58:18,984: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 15:58:18,985: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 15:58:18,986: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 15:58:18,987: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
