[rosmaster.main][INFO] 2019-12-29 02:43:25,067: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 02:43:25,067: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 02:43:25,068: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 02:43:25,068: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 02:43:25,068: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 02:43:25,068: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 02:43:25,122: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:25,124: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43849] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:25,282: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:25,282: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:25,549: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44795/
[rosmaster.master][INFO] 2019-12-29 02:43:25,552: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44795/
[rosmaster.master][INFO] 2019-12-29 02:43:25,557: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44795/
[rosmaster.master][INFO] 2019-12-29 02:43:25,571: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44795/
[rosmaster.master][INFO] 2019-12-29 02:43:40,680: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__32891] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:40,683: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:40,683: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:40,683: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:40,683: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:40,683: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:43:40,683: +PARAM [/usb_cam/io_method] by /roslaunch
