[rosmaster.main][INFO] 2019-12-24 18:41:21,077: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-24 18:41:21,077: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-24 18:41:21,078: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-24 18:41:21,078: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-24 18:41:21,078: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-24 18:41:21,078: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-24 18:41:21,145: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,149: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45739] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,227: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,227: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,227: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,228: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,228: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,228: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,228: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,228: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,228: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,229: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,229: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,229: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:21,229: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39203/
[rosmaster.master][INFO] 2019-12-24 18:41:21,230: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39203/
[rosmaster.master][INFO] 2019-12-24 18:41:21,231: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39203/
[rosmaster.master][INFO] 2019-12-24 18:41:21,234: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39203/
[rosmaster.master][INFO] 2019-12-24 18:41:21,251: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32899/
[rosmaster.master][INFO] 2019-12-24 18:41:21,252: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32899/
[rosmaster.master][INFO] 2019-12-24 18:41:21,254: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32899/
[rosmaster.master][INFO] 2019-12-24 18:41:21,264: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34959/
[rosmaster.master][INFO] 2019-12-24 18:41:21,265: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34959/
[rosmaster.master][INFO] 2019-12-24 18:41:21,266: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34959/
