[rosmaster.main][INFO] 2019-12-28 00:57:11,420: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:57:11,420: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:57:11,421: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:57:11,421: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:57:11,421: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:57:11,422: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:57:11,468: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:11,469: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40329] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:11,557: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:11,558: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:11,562: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45399/
[rosmaster.master][INFO] 2019-12-28 00:57:11,563: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45399/
[rosmaster.master][INFO] 2019-12-28 00:57:11,565: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45399/
[rosmaster.master][INFO] 2019-12-28 00:57:11,568: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45399/
[rosmaster.master][INFO] 2019-12-28 00:57:15,492: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44271] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,494: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,494: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,494: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,494: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,495: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,495: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,495: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,495: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,495: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,495: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,495: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,495: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:57:15,582: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40213/
[rosmaster.master][INFO] 2019-12-28 00:57:15,583: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40213/
