[rosmaster.main][INFO] 2020-02-27 10:00:30,237: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 10:00:30,237: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 10:00:30,238: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 10:00:30,238: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 10:00:30,239: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 10:00:30,239: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 10:00:30,274: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,275: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37209] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,352: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,352: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,353: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 10:00:30,355: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38377/
[rosmaster.master][INFO] 2020-02-27 10:00:30,356: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38377/
[rosmaster.master][INFO] 2020-02-27 10:00:30,357: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38377/
[rosmaster.master][INFO] 2020-02-27 10:00:30,360: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38377/
