[rosmaster.main][INFO] 2020-02-26 17:11:11,630: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 17:11:11,630: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 17:11:11,631: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 17:11:11,631: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 17:11:11,631: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 17:11:11,632: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 17:11:11,693: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 17:11:11,697: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44451] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 17:11:11,802: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 17:11:11,802: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 17:11:11,807: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/
[rosmaster.master][INFO] 2020-02-26 17:11:11,808: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/
[rosmaster.master][INFO] 2020-02-26 17:11:11,809: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/
[rosmaster.master][INFO] 2020-02-26 17:11:11,812: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/
[rosmaster.master][INFO] 2020-02-26 17:16:10,955: +PUB [/rosout] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:10,964: +SERVICE [/monitor/get_loggers] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:10,967: +SERVICE [/monitor/set_logger_level] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:11,030: +SUB [/whycon/poses] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:11,031: +SUB [/decision_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:11,033: +SUB [/detection_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:11,034: +SUB [/arm_status] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:11,035: +PUB [/stats_sr] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:11,036: +PUB [/serviced_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:11,037: +PUB [/led_control_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:11,037: +PUB [/base_cell_int_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:16:11,053: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/']
[rosmaster.master][INFO] 2020-02-26 17:16:11,055: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 17:19:11,261: -SUB [/whycon/poses] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -SUB [/detection_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -SUB [/decision_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -SUB [/arm_status] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -PUB [/serviced_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -PUB [/rosout] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -PUB [/stats_sr] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -PUB [/led_control_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -PUB [/base_cell_int_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:33707/
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -SERVICE [/monitor/set_logger_level] /monitor rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:45765
[rosmaster.master][INFO] 2020-02-26 17:19:11,262: -SERVICE [/monitor/get_loggers] /monitor rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:45765
[rosmaster.master][INFO] 2020-02-26 17:19:11,347: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/ []
[rosmaster.master][INFO] 2020-02-26 17:19:11,349: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 17:24:43,693: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/
[rosmaster.master][INFO] 2020-02-26 17:24:43,694: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41981/
[rosmaster.master][INFO] 2020-02-26 17:24:43,694: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:53513
[rosmaster.master][INFO] 2020-02-26 17:24:43,695: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:53513
[rosmaster.main][INFO] 2020-02-26 17:24:43,780: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-02-26 17:24:43,780: stopping master...
[rospy.core][INFO] 2020-02-26 17:24:43,781: signal_shutdown [atexit]
