[rosmaster.main][INFO] 2020-02-27 16:41:24,516: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 16:41:24,517: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 16:41:24,517: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 16:41:24,518: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 16:41:24,518: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 16:41:24,518: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 16:41:24,556: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:24,557: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37265] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:24,633: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:24,633: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 16:41:24,638: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32831/
[rosmaster.master][INFO] 2020-02-27 16:41:24,639: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32831/
[rosmaster.master][INFO] 2020-02-27 16:41:24,640: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32831/
[rosmaster.master][INFO] 2020-02-27 16:41:24,643: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32831/
[rosmaster.master][INFO] 2020-02-27 16:41:28,367: +PUB [/rosout] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:35031/
