[rosmaster.main][INFO] 2019-12-28 01:04:27,047: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 01:04:27,047: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 01:04:27,048: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 01:04:27,048: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 01:04:27,048: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 01:04:27,048: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 01:04:27,102: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:27,104: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38905] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:27,200: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:27,200: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:27,205: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/
[rosmaster.master][INFO] 2019-12-28 01:04:27,206: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/
[rosmaster.master][INFO] 2019-12-28 01:04:27,207: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/
[rosmaster.master][INFO] 2019-12-28 01:04:27,209: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/
[rosmaster.master][INFO] 2019-12-28 01:04:28,906: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41563] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,909: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,909: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,909: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,909: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,909: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,909: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,909: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,909: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,910: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,910: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,910: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,910: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 01:04:28,996: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/
[rosmaster.master][INFO] 2019-12-28 01:04:28,996: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/
[rosmaster.master][INFO] 2019-12-28 01:04:28,997: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/
[rosmaster.master][INFO] 2019-12-28 01:04:29,002: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,002: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,003: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,010: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38863/
[rosmaster.master][INFO] 2019-12-28 01:04:29,010: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38863/
[rosmaster.master][INFO] 2019-12-28 01:04:29,011: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38863/
[rosmaster.master][INFO] 2019-12-28 01:04:29,016: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33563/
[rosmaster.master][INFO] 2019-12-28 01:04:29,017: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33563/
[rosmaster.master][INFO] 2019-12-28 01:04:29,018: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33563/
[rosmaster.master][INFO] 2019-12-28 01:04:29,034: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/
[rosmaster.master][INFO] 2019-12-28 01:04:29,035: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/
[rosmaster.master][INFO] 2019-12-28 01:04:29,035: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,036: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/
[rosmaster.master][INFO] 2019-12-28 01:04:29,037: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,038: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/
[rosmaster.master][INFO] 2019-12-28 01:04:29,038: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,041: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 01:04:29,043: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 01:04:29,043: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 01:04:29,045: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 01:04:29,046: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 01:04:29,047: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,048: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 01:04:29,048: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,049: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 01:04:29,050: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,052: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 01:04:29,052: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/']
[rosmaster.master][INFO] 2019-12-28 01:04:29,052: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/
[rosmaster.master][INFO] 2019-12-28 01:04:29,054: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/
[rosmaster.master][INFO] 2019-12-28 01:04:29,054: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 01:04:29,055: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/']
[rosmaster.master][INFO] 2019-12-28 01:04:29,056: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 01:04:29,056: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38863/']
[rosmaster.master][INFO] 2019-12-28 01:04:29,057: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/
[rosmaster.master][INFO] 2019-12-28 01:04:29,058: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46365/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43695/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38863/']: sec=0.00, result=[1, '', 0]
