[rosmaster.main][INFO] 2019-12-23 03:12:04,483: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 03:12:04,483: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 03:12:04,484: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 03:12:04,484: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 03:12:04,484: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 03:12:04,485: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 03:12:04,506: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,507: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37675] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,591: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,591: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,592: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,592: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,592: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,592: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,592: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,592: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,592: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,592: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,593: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,593: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:12:04,594: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41759/
[rosmaster.master][INFO] 2019-12-23 03:12:04,594: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41759/
[rosmaster.master][INFO] 2019-12-23 03:12:04,595: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41759/
[rosmaster.master][INFO] 2019-12-23 03:12:04,598: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41759/
[rosmaster.master][INFO] 2019-12-23 03:12:04,615: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38919/
[rosmaster.master][INFO] 2019-12-23 03:12:04,616: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38919/
[rosmaster.master][INFO] 2019-12-23 03:12:04,617: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38919/
[rosmaster.master][INFO] 2019-12-23 03:12:04,625: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46113/
[rosmaster.master][INFO] 2019-12-23 03:12:04,626: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46113/
[rosmaster.master][INFO] 2019-12-23 03:12:04,627: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46113/
