[rosmaster.main][INFO] 2019-11-11 23:07:16,124: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-11 23:07:16,125: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-11 23:07:16,125: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-11 23:07:16,125: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-11 23:07:16,126: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-11 23:07:16,126: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-11 23:07:16,201: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 23:07:16,201: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37983] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 23:07:16,301: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 23:07:16,301: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 23:07:16,586: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/
[rosmaster.master][INFO] 2019-11-11 23:07:16,587: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/
[rosmaster.master][INFO] 2019-11-11 23:07:16,588: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/
[rosmaster.master][INFO] 2019-11-11 23:07:16,591: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/
[rosmaster.master][INFO] 2019-11-11 23:07:51,664: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33011] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 23:07:51,668: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 23:07:51,668: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 23:07:51,668: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-11 23:07:55,819: +PUB [/rosout] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:42085/
[rosmaster.master][INFO] 2019-11-11 23:07:55,821: +PUB [/rosout] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:38447/
[rosmaster.master][INFO] 2019-11-11 23:07:55,823: +SERVICE [/gazebo/get_loggers] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:42085/
[rosmaster.master][INFO] 2019-11-11 23:07:55,826: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:38447/
[rosmaster.master][INFO] 2019-11-11 23:07:55,828: +SERVICE [/gazebo/set_logger_level] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:42085/
[rosmaster.master][INFO] 2019-11-11 23:07:55,830: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:38447/
[rosmaster.master][INFO] 2019-11-11 23:07:55,844: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42085/']
[rosmaster.master][INFO] 2019-11-11 23:07:55,851: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42085/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-11 23:07:55,853: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42085/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38447/']
[rosmaster.master][INFO] 2019-11-11 23:07:55,856: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42085/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38447/']: sec=0.00, result=[1, '', 0]
