[rosmaster.main][INFO] 2019-12-27 16:36:13,596: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 16:36:13,597: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 16:36:13,597: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 16:36:13,598: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 16:36:13,598: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 16:36:13,598: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 16:36:13,660: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:36:13,662: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45741] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:36:13,756: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:36:13,756: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:36:13,761: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41213/
[rosmaster.master][INFO] 2019-12-27 16:36:13,762: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41213/
[rosmaster.master][INFO] 2019-12-27 16:36:13,763: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41213/
[rosmaster.master][INFO] 2019-12-27 16:36:13,766: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41213/
[rosmaster.master][INFO] 2019-12-27 16:36:17,671: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41213/
[rosmaster.master][INFO] 2019-12-27 16:36:17,672: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41213/
[rosmaster.master][INFO] 2019-12-27 16:36:17,673: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:53631
[rosmaster.master][INFO] 2019-12-27 16:36:17,673: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:53631
[rosmaster.main][INFO] 2019-12-27 16:36:17,763: keyboard interrupt, will exit
[rosmaster.main][INFO] 2019-12-27 16:36:17,764: stopping master...
[rospy.core][INFO] 2019-12-27 16:36:17,764: signal_shutdown [atexit]
