[rosmaster.main][INFO] 2020-02-28 20:22:11,317: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 20:22:11,317: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 20:22:11,318: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 20:22:11,318: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 20:22:11,318: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 20:22:11,318: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 20:22:11,371: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,373: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38067] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,474: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,475: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,475: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 20:22:11,476: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34321/
[rosmaster.master][INFO] 2020-02-28 20:22:11,477: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34321/
[rosmaster.master][INFO] 2020-02-28 20:22:11,478: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34321/
[rosmaster.master][INFO] 2020-02-28 20:22:11,480: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34321/
[rosmaster.master][INFO] 2020-02-28 20:22:11,509: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37537/
[rosmaster.master][INFO] 2020-02-28 20:22:11,510: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37537/
[rosmaster.master][INFO] 2020-02-28 20:22:11,511: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37537/
