[rosmaster.main][INFO] 2019-12-25 20:42:00,596: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-25 20:42:00,596: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-25 20:42:00,597: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-25 20:42:00,597: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-25 20:42:00,597: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-25 20:42:00,597: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-25 20:42:00,649: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 20:42:00,651: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37047] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 20:42:00,744: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 20:42:00,744: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 20:42:00,749: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45737/
[rosmaster.master][INFO] 2019-12-25 20:42:00,749: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45737/
[rosmaster.master][INFO] 2019-12-25 20:42:00,751: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45737/
[rosmaster.master][INFO] 2019-12-25 20:42:00,754: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45737/
[rosmaster.master][INFO] 2019-12-25 20:42:59,737: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45325] by /roslaunch
[rosmaster.master][INFO] 2019-12-25 20:42:59,740: +PARAM [/usb_cam/image_width] by /roslaunch
