[rosmaster.main][INFO] 2019-12-22 14:04:42,714: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 14:04:42,714: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 14:04:42,715: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 14:04:42,715: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 14:04:42,715: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 14:04:42,715: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 14:04:42,763: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,764: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46849] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,829: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,830: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,830: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,830: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,830: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,830: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,830: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,830: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:04:42,832: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43313/
[rosmaster.master][INFO] 2019-12-22 14:04:42,833: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43313/
[rosmaster.master][INFO] 2019-12-22 14:04:42,834: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43313/
[rosmaster.master][INFO] 2019-12-22 14:04:42,836: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43313/
[rosmaster.master][INFO] 2019-12-22 14:04:42,852: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37291/
[rosmaster.master][INFO] 2019-12-22 14:04:42,853: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37291/
[rosmaster.master][INFO] 2019-12-22 14:04:42,854: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37291/
[rosmaster.master][INFO] 2019-12-22 14:04:42,861: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42365/
[rosmaster.master][INFO] 2019-12-22 14:04:42,862: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42365/
[rosmaster.master][INFO] 2019-12-22 14:04:42,862: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42365/
[rosmaster.master][INFO] 2019-12-22 14:04:42,885: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37291/
[rosmaster.master][INFO] 2019-12-22 14:04:42,886: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37291/
[rosmaster.master][INFO] 2019-12-22 14:04:42,886: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37291/
[rosmaster.master][INFO] 2019-12-22 14:04:42,887: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37291/
[rosmaster.master][INFO] 2019-12-22 14:04:42,889: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:04:42,889: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:04:42,890: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:04:42,890: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:04:42,891: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:04:42,891: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-22 14:04:42,893: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37291/
[rosmaster.master][INFO] 2019-12-22 14:04:42,893: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37291/
