[rosmaster.main][INFO] 2020-02-27 15:29:54,256: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 15:29:54,256: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 15:29:54,257: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 15:29:54,257: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 15:29:54,257: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 15:29:54,257: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 15:29:54,315: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,318: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41193] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:29:54,421: +PARAM [/whycon/outer_diameter] by /roslaunch
