[rosmaster.main][INFO] 2019-11-01 22:36:13,320: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-01 22:36:13,320: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-01 22:36:13,321: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-01 22:36:13,321: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-01 22:36:13,321: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-01 22:36:13,321: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-01 22:36:13,380: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 22:36:13,384: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36895] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 22:36:13,465: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 22:36:13,465: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 22:36:13,470: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36257/
[rosmaster.master][INFO] 2019-11-01 22:36:13,471: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36257/
[rosmaster.master][INFO] 2019-11-01 22:36:13,472: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36257/
[rosmaster.master][INFO] 2019-11-01 22:36:13,474: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36257/
[rosmaster.master][INFO] 2019-11-01 22:38:05,395: +PUB [/rosout] /marker_detection http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/
[rosmaster.master][INFO] 2019-11-01 22:38:05,395: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36257/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/']
[rosmaster.master][INFO] 2019-11-01 22:38:05,402: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36257/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-01 22:38:05,406: +SERVICE [/marker_detection/get_loggers] /marker_detection http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/
[rosmaster.master][INFO] 2019-11-01 22:38:05,409: +SERVICE [/marker_detection/set_logger_level] /marker_detection http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/
[rosmaster.master][INFO] 2019-11-01 22:38:05,415: +SUB [/whycon/poses] /marker_detection http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/
[rosmaster.master][INFO] 2019-11-01 22:38:25,811: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41221] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 22:38:25,813: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 22:38:25,813: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 22:38:25,813: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-01 22:38:26,094: +PUB [/rosout] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:42967/
[rosmaster.master][INFO] 2019-11-01 22:38:26,095: +SERVICE [/gazebo/get_loggers] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:42967/
[rosmaster.master][INFO] 2019-11-01 22:38:26,095: +SERVICE [/gazebo/set_logger_level] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:42967/
[rosmaster.master][INFO] 2019-11-01 22:38:26,099: +SUB [/clock] /gazebo http://itachi-HP-Pavilion-Laptop-15-cc1xx:42967/
[rosmaster.master][INFO] 2019-11-01 22:38:26,126: +PUB [/rosout] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:33029/
[rosmaster.master][INFO] 2019-11-01 22:38:26,127: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:33029/
[rosmaster.master][INFO] 2019-11-01 22:38:26,128: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:33029/
[rosmaster.master][INFO] 2019-11-01 22:38:26,132: +SUB [/clock] /gazebo_gui http://itachi-HP-Pavilion-Laptop-15-cc1xx:33029/
[rosmaster.master][INFO] 2019-11-01 22:38:26,148: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36257/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42967/']
[rosmaster.master][INFO] 2019-11-01 22:38:26,149: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36257/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45227/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42967/']: sec=0.00, result=[1, '', 0]
