[rosmaster.main][INFO] 2019-12-27 22:34:14,142: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:34:14,142: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:34:14,143: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:34:14,143: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:34:14,143: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:34:14,143: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:34:14,193: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:14,194: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44543] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:14,275: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:14,275: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:14,280: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33735/
[rosmaster.master][INFO] 2019-12-27 22:34:14,281: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33735/
[rosmaster.master][INFO] 2019-12-27 22:34:14,282: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33735/
[rosmaster.master][INFO] 2019-12-27 22:34:14,285: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33735/
[rosmaster.master][INFO] 2019-12-27 22:34:15,834: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42307] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,836: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,836: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,837: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:34:15,920: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33107/
[rosmaster.master][INFO] 2019-12-27 22:34:15,921: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33107/
[rosmaster.master][INFO] 2019-12-27 22:34:15,922: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33107/
[rosmaster.master][INFO] 2019-12-27 22:34:15,931: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40101/
[rosmaster.master][INFO] 2019-12-27 22:34:15,932: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40101/
[rosmaster.master][INFO] 2019-12-27 22:34:15,933: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40101/
