[rosmaster.main][INFO] 2019-12-22 19:12:37,785: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 19:12:37,785: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 19:12:37,786: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 19:12:37,786: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 19:12:37,786: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 19:12:37,786: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 19:12:37,852: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:37,856: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38691] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,014: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,014: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,014: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,015: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,015: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,015: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,015: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,015: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,015: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,015: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,015: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,015: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 19:12:38,625: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42315/
[rosmaster.master][INFO] 2019-12-22 19:12:38,627: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42315/
[rosmaster.master][INFO] 2019-12-22 19:12:38,633: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42315/
[rosmaster.master][INFO] 2019-12-22 19:12:38,644: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42315/
[rosmaster.master][INFO] 2019-12-22 19:12:39,929: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35219/
[rosmaster.master][INFO] 2019-12-22 19:12:39,931: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35219/
[rosmaster.master][INFO] 2019-12-22 19:12:39,934: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35219/
[rosmaster.master][INFO] 2019-12-22 19:12:39,991: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42315/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35219/']
[rosmaster.master][INFO] 2019-12-22 19:12:39,995: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42315/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35219/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 19:12:40,063: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36039/
[rosmaster.master][INFO] 2019-12-22 19:12:40,064: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36039/
[rosmaster.master][INFO] 2019-12-22 19:12:40,064: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36039/
[rosmaster.master][INFO] 2019-12-22 19:12:40,092: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42315/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35219/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36039/']
[rosmaster.master][INFO] 2019-12-22 19:12:40,092: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42315/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35219/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36039/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-22 19:12:40,879: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44329/
[rosmaster.master][INFO] 2019-12-22 19:12:40,881: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44329/
