[rosmaster.main][INFO] 2019-12-20 02:11:20,913: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-20 02:11:20,913: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-20 02:11:20,914: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-20 02:11:20,914: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-20 02:11:20,914: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-20 02:11:20,915: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-20 02:11:20,974: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:20,976: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36093] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:21,061: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:21,061: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:21,061: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:21,061: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:21,061: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:21,061: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:21,061: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:21,061: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 02:11:21,064: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/
[rosmaster.master][INFO] 2019-12-20 02:11:21,064: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/
[rosmaster.master][INFO] 2019-12-20 02:11:21,065: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/
[rosmaster.master][INFO] 2019-12-20 02:11:21,068: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/
[rosmaster.master][INFO] 2019-12-20 02:11:21,084: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/
[rosmaster.master][INFO] 2019-12-20 02:11:21,085: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/
[rosmaster.master][INFO] 2019-12-20 02:11:21,086: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/
[rosmaster.master][INFO] 2019-12-20 02:11:21,095: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38713/
[rosmaster.master][INFO] 2019-12-20 02:11:21,095: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38713/
[rosmaster.master][INFO] 2019-12-20 02:11:21,096: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38713/
[rosmaster.master][INFO] 2019-12-20 02:11:21,114: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/']
[rosmaster.master][INFO] 2019-12-20 02:11:21,115: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-20 02:11:21,115: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38713/']
[rosmaster.master][INFO] 2019-12-20 02:11:21,116: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38507/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38713/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-20 02:11:21,117: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/
[rosmaster.master][INFO] 2019-12-20 02:11:21,118: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/
[rosmaster.master][INFO] 2019-12-20 02:11:21,119: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/
[rosmaster.master][INFO] 2019-12-20 02:11:21,119: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37287/
[rosmaster.master][INFO] 2019-12-20 02:11:21,121: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-20 02:11:21,122: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-20 02:11:21,122: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-20 02:11:21,123: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
