[rosmaster.main][INFO] 2020-02-26 18:37:18,477: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 18:37:18,477: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 18:37:18,478: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 18:37:18,479: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 18:37:18,479: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 18:37:18,479: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 18:37:18,527: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:18,528: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__32919] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:18,605: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:18,605: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:18,611: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33521/
[rosmaster.master][INFO] 2020-02-26 18:37:18,612: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33521/
[rosmaster.master][INFO] 2020-02-26 18:37:18,613: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33521/
[rosmaster.master][INFO] 2020-02-26 18:37:18,616: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33521/
[rosmaster.master][INFO] 2020-02-26 18:37:36,343: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35859] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:36,346: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:36,346: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:36,346: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:36,346: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:36,347: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 18:37:36,347: +PARAM [/usb_cam/pixel_format] by /roslaunch
