[rosmaster.main][INFO] 2020-02-27 15:58:38,459: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 15:58:38,459: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 15:58:38,460: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 15:58:38,460: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 15:58:38,460: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 15:58:38,460: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 15:58:38,521: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,525: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42953] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,625: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,625: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,626: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 15:58:38,628: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41415/
[rosmaster.master][INFO] 2020-02-27 15:58:38,629: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41415/
[rosmaster.master][INFO] 2020-02-27 15:58:38,630: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41415/
[rosmaster.master][INFO] 2020-02-27 15:58:38,633: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41415/
[rosmaster.master][INFO] 2020-02-27 15:58:38,660: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37123/
