[rosmaster.main][INFO] 2019-12-27 16:36:23,561: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 16:36:23,561: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 16:36:23,562: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 16:36:23,562: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 16:36:23,562: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 16:36:23,562: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 16:36:23,625: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:36:23,627: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40769] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:36:23,724: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:36:23,724: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:36:23,729: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2019-12-27 16:36:23,730: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2019-12-27 16:36:23,731: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2019-12-27 16:36:23,734: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/
[rosmaster.master][INFO] 2019-12-27 16:36:36,549: +PUB [/rosout] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:36263/
[rosmaster.master][INFO] 2019-12-27 16:36:36,550: +SERVICE [/DroneNode/get_loggers] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:36263/
[rosmaster.master][INFO] 2019-12-27 16:36:36,550: +SERVICE [/DroneNode/set_logger_level] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:36263/
[rosmaster.master][INFO] 2019-12-27 16:36:36,554: +SUB [/drone_command] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:36263/
[rosmaster.master][INFO] 2019-12-27 16:36:36,606: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36263/']
[rosmaster.master][INFO] 2019-12-27 16:36:36,607: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34323/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36263/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 16:37:00,978: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39241] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,980: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,980: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:00,981: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:37:01,054: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37297/
[rosmaster.master][INFO] 2019-12-27 16:37:01,055: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37297/
[rosmaster.master][INFO] 2019-12-27 16:37:01,055: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37297/
[rosmaster.master][INFO] 2019-12-27 16:37:01,060: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39479/
[rosmaster.master][INFO] 2019-12-27 16:37:01,061: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39479/
[rosmaster.master][INFO] 2019-12-27 16:37:01,061: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39479/
[rosmaster.master][INFO] 2019-12-27 16:37:01,072: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36647/
[rosmaster.master][INFO] 2019-12-27 16:37:01,073: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36647/
[rosmaster.master][INFO] 2019-12-27 16:37:01,074: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36647/
[rosmaster.master][INFO] 2019-12-27 16:37:01,080: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33737/
[rosmaster.master][INFO] 2019-12-27 16:37:01,081: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33737/
[rosmaster.master][INFO] 2019-12-27 16:37:01,081: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33737/
[rosmaster.master][INFO] 2019-12-27 16:37:01,091: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39479/
