[rosmaster.main][INFO] 2020-01-30 22:58:29,516: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 22:58:29,516: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 22:58:29,517: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 22:58:29,517: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 22:58:29,517: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 22:58:29,517: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 22:58:29,543: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,544: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39855] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,749: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,749: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,749: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,749: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,750: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,750: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,750: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,750: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,750: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,750: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,750: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:29,750: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 22:58:30,353: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42479/
[rosmaster.master][INFO] 2020-01-30 22:58:30,356: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,358: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42479/
[rosmaster.master][INFO] 2020-01-30 22:58:30,361: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33321/
[rosmaster.master][INFO] 2020-01-30 22:58:30,363: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,367: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33321/
[rosmaster.master][INFO] 2020-01-30 22:58:30,369: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42479/
[rosmaster.master][INFO] 2020-01-30 22:58:30,371: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,373: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33321/
[rosmaster.master][INFO] 2020-01-30 22:58:30,391: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42479/
[rosmaster.master][INFO] 2020-01-30 22:58:30,652: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,653: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,654: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,656: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,659: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,660: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,661: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,662: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,663: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,664: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,667: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,668: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,669: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,670: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,674: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,675: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,676: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,677: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,677: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,678: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,703: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,719: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,720: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,720: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,721: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,722: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,723: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,723: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,724: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,724: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,725: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,725: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,726: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33321/
[rosmaster.master][INFO] 2020-01-30 22:58:30,726: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2020-01-30 22:58:30,727: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33321/
[rosmaster.master][INFO] 2020-01-30 22:58:30,727: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45945/
[rosmaster.master][INFO] 2020-01-30 22:58:30,728: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33321/
[rosmaster.master][INFO] 2020-01-30 22:58:30,729: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 22:58:30,731: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 22:58:30,733: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33321/
