[rosmaster.main][INFO] 2019-12-24 18:41:42,831: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-24 18:41:42,831: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-24 18:41:42,832: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-24 18:41:42,832: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-24 18:41:42,832: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-24 18:41:42,833: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-24 18:41:42,895: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,897: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35039] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,985: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-24 18:41:42,987: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/
[rosmaster.master][INFO] 2019-12-24 18:41:42,987: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/
[rosmaster.master][INFO] 2019-12-24 18:41:42,988: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/
[rosmaster.master][INFO] 2019-12-24 18:41:42,991: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/
[rosmaster.master][INFO] 2019-12-24 18:41:43,008: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/
[rosmaster.master][INFO] 2019-12-24 18:41:43,009: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/
[rosmaster.master][INFO] 2019-12-24 18:41:43,010: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/
[rosmaster.master][INFO] 2019-12-24 18:41:43,015: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,016: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,017: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,032: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33319/
[rosmaster.master][INFO] 2019-12-24 18:41:43,032: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/']
[rosmaster.master][INFO] 2019-12-24 18:41:43,033: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33319/
[rosmaster.master][INFO] 2019-12-24 18:41:43,035: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:41:43,035: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/']
[rosmaster.master][INFO] 2019-12-24 18:41:43,035: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33319/
[rosmaster.master][INFO] 2019-12-24 18:41:43,036: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:41:43,037: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37995/
[rosmaster.master][INFO] 2019-12-24 18:41:43,037: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33319/']
[rosmaster.master][INFO] 2019-12-24 18:41:43,038: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33319/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:41:43,038: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33319/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37995/']
[rosmaster.master][INFO] 2019-12-24 18:41:43,039: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41755/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40891/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33319/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37995/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-24 18:41:43,040: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37995/
[rosmaster.master][INFO] 2019-12-24 18:41:43,040: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37995/
[rosmaster.master][INFO] 2019-12-24 18:41:43,055: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,056: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,057: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,059: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:41:43,060: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:41:43,061: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,062: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,063: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,063: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35629/
[rosmaster.master][INFO] 2019-12-24 18:41:43,065: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:41:43,066: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:41:43,066: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:41:43,067: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:41:43,068: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-24 18:41:43,068: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
