[rosmaster.main][INFO] 2019-12-31 21:10:54,352: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 21:10:54,353: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 21:10:54,354: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 21:10:54,354: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 21:10:54,354: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 21:10:54,354: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 21:10:54,399: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:54,400: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43625] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:54,484: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:54,485: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:54,491: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43555/
[rosmaster.master][INFO] 2019-12-31 21:10:54,492: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43555/
[rosmaster.master][INFO] 2019-12-31 21:10:54,493: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43555/
[rosmaster.master][INFO] 2019-12-31 21:10:54,497: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43555/
[rosmaster.master][INFO] 2019-12-31 21:10:56,300: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36739] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,303: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:10:56,385: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42469/
[rosmaster.master][INFO] 2019-12-31 21:10:56,386: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42469/
[rosmaster.master][INFO] 2019-12-31 21:10:56,387: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42469/
[rosmaster.master][INFO] 2019-12-31 21:10:56,394: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46373/
[rosmaster.master][INFO] 2019-12-31 21:10:56,395: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46373/
[rosmaster.master][INFO] 2019-12-31 21:10:56,396: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46373/
[rosmaster.master][INFO] 2019-12-31 21:10:56,405: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34305/
