[rosmaster.main][INFO] 2019-12-16 00:21:40,976: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-16 00:21:40,977: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-16 00:21:40,977: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-16 00:21:40,978: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-16 00:21:40,978: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-16 00:21:40,978: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-16 00:21:41,044: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,048: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43997] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,145: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,145: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,145: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,145: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,145: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,145: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,145: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,145: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-16 00:21:41,147: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37607/
[rosmaster.master][INFO] 2019-12-16 00:21:41,148: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37607/
[rosmaster.master][INFO] 2019-12-16 00:21:41,149: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37607/
[rosmaster.master][INFO] 2019-12-16 00:21:41,153: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37607/
[rosmaster.master][INFO] 2019-12-16 00:21:41,169: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,170: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,170: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,177: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37607/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/']
[rosmaster.master][INFO] 2019-12-16 00:21:41,179: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41667/
[rosmaster.master][INFO] 2019-12-16 00:21:41,179: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37607/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-16 00:21:41,179: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37607/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41667/']
[rosmaster.master][INFO] 2019-12-16 00:21:41,180: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41667/
[rosmaster.master][INFO] 2019-12-16 00:21:41,180: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37607/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:41667/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-16 00:21:41,181: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41667/
[rosmaster.master][INFO] 2019-12-16 00:21:41,210: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,211: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,212: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,213: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,215: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,216: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,216: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,217: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,218: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,218: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,220: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,221: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,221: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,222: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,223: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,224: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,225: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,225: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,226: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,226: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-16 00:21:41,227: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,228: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,229: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,230: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,230: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45307/
[rosmaster.master][INFO] 2019-12-16 00:21:41,232: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
