[rosmaster.main][INFO] 2020-02-27 09:03:33,974: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 09:03:33,974: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 09:03:33,974: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 09:03:33,975: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 09:03:33,975: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 09:03:33,975: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 09:03:34,034: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,039: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36253] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,121: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,121: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,121: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,121: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,121: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,121: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,121: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,121: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,122: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,122: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,122: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,122: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,122: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,123: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 09:03:34,123: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38851/
[rosmaster.master][INFO] 2020-02-27 09:03:34,124: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38851/
[rosmaster.master][INFO] 2020-02-27 09:03:34,125: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38851/
[rosmaster.master][INFO] 2020-02-27 09:03:34,128: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38851/
[rosmaster.master][INFO] 2020-02-27 09:03:34,157: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,158: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,159: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,164: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,165: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,166: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,174: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38851/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/']
[rosmaster.master][INFO] 2020-02-27 09:03:34,177: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38851/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 09:03:34,177: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38851/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/']
[rosmaster.master][INFO] 2020-02-27 09:03:34,178: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38851/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 09:03:34,181: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36785/
[rosmaster.master][INFO] 2020-02-27 09:03:34,182: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36785/
[rosmaster.master][INFO] 2020-02-27 09:03:34,183: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36785/
[rosmaster.master][INFO] 2020-02-27 09:03:34,195: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34411/
[rosmaster.master][INFO] 2020-02-27 09:03:34,196: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34411/
[rosmaster.master][INFO] 2020-02-27 09:03:34,197: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:34411/
[rosmaster.master][INFO] 2020-02-27 09:03:34,213: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,214: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,215: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,216: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,216: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,217: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,218: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,220: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:03:34,221: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:03:34,222: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:03:34,223: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:03:34,223: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:03:34,224: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,224: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:03:34,225: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,226: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:03:34,226: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,227: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 09:03:34,227: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35047/
[rosmaster.master][INFO] 2020-02-27 09:03:34,229: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,230: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,232: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,233: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 09:03:34,234: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46621/
[rosmaster.master][INFO] 2020-02-27 09:03:34,234: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
