[rosmaster.main][INFO] 2019-12-15 00:22:52,773: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-15 00:22:52,773: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-15 00:22:52,774: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-15 00:22:52,774: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-15 00:22:52,774: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-15 00:22:52,775: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-15 00:22:52,843: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:52,847: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34655] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:52,943: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:52,943: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:52,948: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33595/
[rosmaster.master][INFO] 2019-12-15 00:22:52,949: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33595/
[rosmaster.master][INFO] 2019-12-15 00:22:52,950: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33595/
[rosmaster.master][INFO] 2019-12-15 00:22:52,953: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33595/
[rosmaster.master][INFO] 2019-12-15 00:22:56,011: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46087] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:56,014: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:56,014: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:56,014: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:56,014: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:56,014: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:56,014: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:56,014: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:56,014: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:22:56,100: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/
[rosmaster.master][INFO] 2019-12-15 00:22:56,101: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/
[rosmaster.master][INFO] 2019-12-15 00:22:56,102: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/
[rosmaster.master][INFO] 2019-12-15 00:22:56,184: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33595/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/']
[rosmaster.master][INFO] 2019-12-15 00:22:56,186: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33595/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-15 00:22:56,251: +SUB [/usb_cam/image_raw] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/
[rosmaster.master][INFO] 2019-12-15 00:22:56,252: +PUB [/usb_cam_display/image_view/output] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/
[rosmaster.master][INFO] 2019-12-15 00:22:56,252: +SERVICE [/usb_cam_display/image_view/set_parameters] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/
[rosmaster.master][INFO] 2019-12-15 00:22:56,253: +PUB [/usb_cam_display/image_view/parameter_descriptions] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/
[rosmaster.master][INFO] 2019-12-15 00:22:56,253: +PUB [/usb_cam_display/image_view/parameter_updates] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40651/
[rosmaster.master][INFO] 2019-12-15 00:22:56,256: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
