[rosmaster.main][INFO] 2019-12-18 01:52:22,911: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-18 01:52:22,911: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-18 01:52:22,912: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-18 01:52:22,912: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-18 01:52:22,912: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-18 01:52:22,912: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-18 01:52:22,980: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:22,984: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40499] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:23,080: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:23,081: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:23,081: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:23,081: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:23,081: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:23,081: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:23,081: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:23,081: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:52:23,083: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35449/
[rosmaster.master][INFO] 2019-12-18 01:52:23,084: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35449/
[rosmaster.master][INFO] 2019-12-18 01:52:23,085: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35449/
[rosmaster.master][INFO] 2019-12-18 01:52:23,088: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:35449/
[rosmaster.master][INFO] 2019-12-18 01:52:23,103: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,104: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,105: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,112: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35449/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/']
[rosmaster.master][INFO] 2019-12-18 01:52:23,114: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/
[rosmaster.master][INFO] 2019-12-18 01:52:23,114: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35449/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 01:52:23,114: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/
[rosmaster.master][INFO] 2019-12-18 01:52:23,115: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35449/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/']
[rosmaster.master][INFO] 2019-12-18 01:52:23,115: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:35449/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 01:52:23,115: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/
[rosmaster.master][INFO] 2019-12-18 01:52:23,136: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,137: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,138: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,138: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,140: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,141: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,141: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,142: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,142: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,143: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,144: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,145: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,145: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,146: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,148: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,150: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,150: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,151: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,151: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,152: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,153: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,154: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,155: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,155: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,156: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,159: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,159: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,160: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,160: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,161: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,161: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,162: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,162: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:52:23,163: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,174: +SERVICE [/usb_cam/set_camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,175: +SERVICE [/usb_cam/start_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,176: +SERVICE [/usb_cam/stop_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:23,261: +SUB [/usb_cam/image_raw] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/
[rosmaster.master][INFO] 2019-12-18 01:52:23,262: +PUB [/usb_cam_display/image_view/output] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/
[rosmaster.master][INFO] 2019-12-18 01:52:23,263: +SERVICE [/usb_cam_display/image_view/set_parameters] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/
[rosmaster.master][INFO] 2019-12-18 01:52:23,263: +PUB [/usb_cam_display/image_view/parameter_descriptions] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/
[rosmaster.master][INFO] 2019-12-18 01:52:23,264: +PUB [/usb_cam_display/image_view/parameter_updates] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39955/
[rosmaster.master][INFO] 2019-12-18 01:52:23,266: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 01:52:23,267: +PARAM [/usb_cam_display/image_view/colormap] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 01:52:23,267: +PARAM [/usb_cam_display/image_view/min_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 01:52:23,268: +PARAM [/usb_cam_display/image_view/max_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 01:52:23,268: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 01:52:23,269: +PARAM [/usb_cam_display/image_view/colormap] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 01:52:23,269: +PARAM [/usb_cam_display/image_view/min_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 01:52:23,270: +PARAM [/usb_cam_display/image_view/max_image_value] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 01:52:34,937: -PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
[rosmaster.master][INFO] 2019-12-18 01:52:34,937: -PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42545/
