[rosmaster.main][INFO] 2020-02-03 22:53:48,784: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-03 22:53:48,784: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-03 22:53:48,785: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-03 22:53:48,785: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-03 22:53:48,785: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-03 22:53:48,786: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-03 22:53:48,839: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,842: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33001] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,919: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,920: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,920: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 22:53:48,921: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/
[rosmaster.master][INFO] 2020-02-03 22:53:48,922: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/
[rosmaster.master][INFO] 2020-02-03 22:53:48,923: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/
[rosmaster.master][INFO] 2020-02-03 22:53:48,926: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/
[rosmaster.master][INFO] 2020-02-03 22:53:48,943: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37899/
[rosmaster.master][INFO] 2020-02-03 22:53:48,944: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37899/
[rosmaster.master][INFO] 2020-02-03 22:53:48,944: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37899/
[rosmaster.master][INFO] 2020-02-03 22:53:48,954: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44153/
[rosmaster.master][INFO] 2020-02-03 22:53:48,955: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44153/
[rosmaster.master][INFO] 2020-02-03 22:53:48,956: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44153/
[rosmaster.master][INFO] 2020-02-03 22:53:48,961: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45443/
[rosmaster.master][INFO] 2020-02-03 22:53:48,962: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45443/
[rosmaster.master][INFO] 2020-02-03 22:53:48,963: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45443/
[rosmaster.master][INFO] 2020-02-03 22:53:48,980: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44153/
[rosmaster.master][INFO] 2020-02-03 22:53:48,981: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40389/
[rosmaster.master][INFO] 2020-02-03 22:53:48,981: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44153/
[rosmaster.master][INFO] 2020-02-03 22:53:48,982: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40389/
[rosmaster.master][INFO] 2020-02-03 22:53:48,983: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44153/
[rosmaster.master][INFO] 2020-02-03 22:53:48,983: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40389/
[rosmaster.master][INFO] 2020-02-03 22:53:48,985: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-03 22:53:48,985: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37899/']
