[rosmaster.main][INFO] 2019-12-31 21:25:17,781: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 21:25:17,781: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 21:25:17,782: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 21:25:17,782: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 21:25:17,782: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 21:25:17,782: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 21:25:17,839: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:25:17,844: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41993] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:25:17,941: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:25:17,942: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:25:17,946: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/
[rosmaster.master][INFO] 2019-12-31 21:25:17,947: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/
[rosmaster.master][INFO] 2019-12-31 21:25:17,948: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/
[rosmaster.master][INFO] 2019-12-31 21:25:17,951: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/
[rosmaster.master][INFO] 2019-12-31 21:25:54,798: +PUB [/rosout] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/
[rosmaster.master][INFO] 2019-12-31 21:25:54,799: +SERVICE [/DroneNode/get_loggers] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/
[rosmaster.master][INFO] 2019-12-31 21:25:54,800: +SERVICE [/DroneNode/set_logger_level] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/
[rosmaster.master][INFO] 2019-12-31 21:25:54,803: +SUB [/drone_command] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/
[rosmaster.master][INFO] 2019-12-31 21:25:54,808: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/']
[rosmaster.master][INFO] 2019-12-31 21:25:54,809: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 21:26:01,479: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39891] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,481: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,481: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,481: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,481: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,481: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,482: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,482: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,482: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,482: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,482: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,482: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,482: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:26:01,560: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/
[rosmaster.master][INFO] 2019-12-31 21:26:01,561: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/
[rosmaster.master][INFO] 2019-12-31 21:26:01,562: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,562: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/
[rosmaster.master][INFO] 2019-12-31 21:26:01,563: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,564: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,570: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2019-12-31 21:26:01,570: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2019-12-31 21:26:01,571: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2019-12-31 21:26:01,579: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45831/
[rosmaster.master][INFO] 2019-12-31 21:26:01,579: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45831/
[rosmaster.master][INFO] 2019-12-31 21:26:01,580: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45831/
[rosmaster.master][INFO] 2019-12-31 21:26:01,606: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2019-12-31 21:26:01,607: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,608: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,609: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,611: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:26:01,612: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2019-12-31 21:26:01,612: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 21:26:01,614: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,615: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,616: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,617: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/
[rosmaster.master][INFO] 2019-12-31 21:26:01,617: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/']
[rosmaster.master][INFO] 2019-12-31 21:26:01,618: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2019-12-31 21:26:01,619: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/
[rosmaster.master][INFO] 2019-12-31 21:26:01,619: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 21:26:01,620: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/
[rosmaster.master][INFO] 2019-12-31 21:26:01,620: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/']
[rosmaster.master][INFO] 2019-12-31 21:26:01,620: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2019-12-31 21:26:01,621: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 21:26:01,621: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/
[rosmaster.master][INFO] 2019-12-31 21:26:01,622: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38505/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38335/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37105/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34421/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/']
[rosmaster.master][INFO] 2019-12-31 21:26:01,622: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
