[rosmaster.main][INFO] 2019-12-27 22:20:09,383: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:20:09,384: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:20:09,384: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:20:09,385: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:20:09,385: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:20:09,385: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:20:09,442: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:09,444: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34897] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:09,523: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:09,523: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:09,528: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38511/
[rosmaster.master][INFO] 2019-12-27 22:20:09,528: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38511/
[rosmaster.master][INFO] 2019-12-27 22:20:09,530: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38511/
[rosmaster.master][INFO] 2019-12-27 22:20:09,532: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38511/
[rosmaster.master][INFO] 2019-12-27 22:20:12,286: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44245] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,288: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,288: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,288: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,288: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,288: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,288: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,289: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,289: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,289: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,289: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,289: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,289: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:20:12,377: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,378: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,379: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,385: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,385: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,386: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,391: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38511/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/']
[rosmaster.master][INFO] 2019-12-27 22:20:12,392: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38511/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:20:12,392: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38511/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/']
[rosmaster.master][INFO] 2019-12-27 22:20:12,393: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38511/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 22:20:12,395: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,395: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,396: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,405: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40261/
[rosmaster.master][INFO] 2019-12-27 22:20:12,406: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40261/
[rosmaster.master][INFO] 2019-12-27 22:20:12,406: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40261/
[rosmaster.master][INFO] 2019-12-27 22:20:12,409: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,410: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,411: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,412: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,412: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,413: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,414: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,415: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,415: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,416: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,417: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,418: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,419: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,421: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,423: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,425: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,426: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,427: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,427: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,428: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,429: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,430: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,431: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,432: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,433: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,434: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,435: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,436: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,438: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,438: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,440: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,440: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,442: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,443: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,446: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,447: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,448: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,449: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,450: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,451: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,452: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,453: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,454: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,454: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 22:20:12,455: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,455: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,456: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,457: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 22:20:12,458: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,460: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,460: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,461: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,462: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,463: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-27 22:20:12,464: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,464: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,465: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,466: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,466: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,467: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45055/
[rosmaster.master][INFO] 2019-12-27 22:20:12,468: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,469: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
[rosmaster.master][INFO] 2019-12-27 22:20:12,471: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44269/
