[rosmaster.main][INFO] 2020-02-27 12:45:32,999: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 12:45:33,000: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 12:45:33,000: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 12:45:33,001: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 12:45:33,001: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 12:45:33,001: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 12:45:33,052: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,054: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43983] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,150: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,151: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,151: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,151: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,151: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,151: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,151: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,151: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,151: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,151: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,152: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,152: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,152: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,152: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 12:45:33,153: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/
[rosmaster.master][INFO] 2020-02-27 12:45:33,153: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/
[rosmaster.master][INFO] 2020-02-27 12:45:33,155: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/
[rosmaster.master][INFO] 2020-02-27 12:45:33,157: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/
[rosmaster.master][INFO] 2020-02-27 12:45:33,184: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/
[rosmaster.master][INFO] 2020-02-27 12:45:33,185: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/
[rosmaster.master][INFO] 2020-02-27 12:45:33,186: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/
[rosmaster.master][INFO] 2020-02-27 12:45:33,192: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,193: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,194: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,200: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/']
[rosmaster.master][INFO] 2020-02-27 12:45:33,202: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 12:45:33,202: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/']
[rosmaster.master][INFO] 2020-02-27 12:45:33,203: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43925/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 12:45:33,209: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39895/
[rosmaster.master][INFO] 2020-02-27 12:45:33,211: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39895/
[rosmaster.master][INFO] 2020-02-27 12:45:33,212: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39895/
[rosmaster.master][INFO] 2020-02-27 12:45:33,222: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,222: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36181/
[rosmaster.master][INFO] 2020-02-27 12:45:33,223: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,224: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36181/
[rosmaster.master][INFO] 2020-02-27 12:45:33,225: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,225: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36181/
[rosmaster.master][INFO] 2020-02-27 12:45:33,227: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 12:45:33,228: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 12:45:33,230: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,231: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,232: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/
[rosmaster.master][INFO] 2020-02-27 12:45:33,232: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,233: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/
[rosmaster.master][INFO] 2020-02-27 12:45:33,234: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38173/
[rosmaster.master][INFO] 2020-02-27 12:45:33,235: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/
[rosmaster.master][INFO] 2020-02-27 12:45:33,236: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42811/
[rosmaster.master][INFO] 2020-02-27 12:45:33,241: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 12:45:33,242: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 12:45:33,243: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 12:45:33,244: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 12:45:33,246: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 12:45:33,246: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 12:45:33,247: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 12:45:33,248: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 12:45:33,249: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 12:45:33,250: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
