[rosmaster.main][INFO] 2020-02-28 17:59:20,787: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 17:59:20,787: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 17:59:20,788: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 17:59:20,788: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 17:59:20,789: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 17:59:20,789: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 17:59:20,840: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,842: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46845] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,944: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,944: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,944: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,944: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,944: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,945: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,945: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,945: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,945: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,945: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,945: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,945: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,946: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,946: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:59:20,946: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45083/
[rosmaster.master][INFO] 2020-02-28 17:59:20,947: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45083/
[rosmaster.master][INFO] 2020-02-28 17:59:20,948: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45083/
[rosmaster.master][INFO] 2020-02-28 17:59:20,951: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45083/
[rosmaster.master][INFO] 2020-02-28 17:59:20,984: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37509/
[rosmaster.master][INFO] 2020-02-28 17:59:20,985: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37509/
